text,sentiment
limitado,negative
nawalan,negative
kulisap,negative
pagkabulok,negative
demonyo,negative
pagsalakay,negative
lumaban,negative
paglabag,negative
katas,negative
laganap,negative
komedya,negative
pagkalat,negative
utang,negative
mahina,negative
madilim,negative
sumama,negative
depresyon,negative
halimaw,negative
imahen,negative
mabagal,negative
kamalian,negative
napatay,negative
kakaiba,negative
balahibo,negative
amoy,negative
undefined,negative
tanggapin,negative
kanal,negative
humingi,negative
panlaban,negative
bayad,negative
pananagutan,negative
pagbaba,negative
daungan,negative
bawal,negative
babala,negative
negative,negative
dumi,negative
manatili,negative
tumakas,negative
pala,negative
pagkasira,negative
ligaw,negative
krisis,negative
kriminal,negative
nabigo,negative
mapanganib,negative
damo,negative
pain,negative
paghihimagsik,negative
impiyerno,negative
alisin,negative
salungat,negative
pagtanggi,negative
katunggali,negative
away,negative
sala,negative
patayin,negative
naiiba,negative
kumain,negative
kasamaan,negative
pababa,negative
ulap,negative
stress,negative
putik,negative
parusa,negative
paghihirap,negative
pagano,negative
bilanggo,negative
pagtatalo,negative
lagnat,negative
tumanggi,negative
riles,negative
pagbabawal,negative
marahas,negative
pumatay,negative
limitasyon,negative
error,negative
sumuko,negative
kakaunti,negative
ani,negative
bilangguan,negative
pagkawasak,negative
negatibo,negative
biglang,negative
kumilos,negative
protesta,negative
pagtutol,negative
pagkabalisa,negative
ipinagbabawal,negative
ilegal,negative
bomba,negative
banta,negative
humawak,negative
ipinagpatuloy,negative
pananakit,negative
magkakaiba,negative
lamig,negative
sumasalungat,negative
lumipas,negative
amin,negative
radikal,negative
pinagtatalunan,negative
pagkabigo,negative
namamatay,negative
mamamatay,negative
mababaw,negative
udyok,negative
paglubog,negative
makitid,negative
katarungan,negative
disyerto,negative
trahedya,negative
paglaban,negative
pagguho,negative
misteryo,negative
hirap,negative
pagsalungat,negative
mawala,negative
maluwag,negative
tangke,negative
tinanggihan,negative
puki,negative
pagpigil,negative
manika,negative
alala,negative
pating,negative
pansarili,negative
object,negative
nauunawaan,negative
nakamamatay,negative
sumiklab,negative
malupit,negative
pagpapatiwakal,negative
hard,negative
sin,negative
puna,negative
hadlang,negative
karibal,negative
complex,negative
pagnanakaw,negative
wasakin,negative
lason,negative
disorder,negative
sakuna,negative
magtayo,negative
likhain,negative
tumangging,negative
salot,negative
lumubog,negative
ingay,negative
bahagya,negative
alikabok,negative
usok,negative
suka,negative
pilit,negative
pagpapatakbo,negative
nerbiyos,negative
katha,negative
punk,negative
nagging,negative
malungkot,negative
diskriminasyon,negative
syndrome,negative
split,negative
sira,negative
reklamo,negative
pagkabahala,negative
kapinsalaan,negative
gulo,negative
burahin,negative
strain,negative
kuweba,negative
maybahay,negative
bulag,negative
panggagahasa,negative
magaspang,negative
mabangis,negative
alalahanin,negative
talon,negative
naranasan,negative
naghahati,negative
malutas,negative
bug,negative
palihim,negative
nakulong,negative
nabubulok,negative
diktador,negative
basura,negative
pusong,negative
pagpipigil,negative
pagkiling,negative
bulak,negative
apdo,negative
pansamantala,negative
kasalungat,negative
gumuho,negative
tumutol,negative
sugatan,negative
sinunog,negative
malubha,negative
imbento,negative
atakihin,negative
sumpa,negative
pangit,negative
pagod,negative
malabo,negative
katiwalian,negative
kalungkutan,negative
bitak,negative
biro,negative
bawasan,negative
urong,negative
panandalian,negative
mapait,negative
imposible,negative
balakid,negative
umurong,negative
random,negative
pan,negative
pagbibitiw,negative
kadiliman,negative
fiction,negative
depekto,negative
suntok,negative
selyo,negative
propaganda,negative
paputok,negative
paghatol,negative
nakakatakot,negative
makasalanan,negative
kahihiyan,negative
gutom,negative
abnormal,negative
utusan,negative
sumira,negative
sumalungat,negative
malala,negative
maasim,negative
luma,negative
lipat,negative
issue,negative
tulis,negative
pagsupil,negative
pagputol,negative
paglihis,negative
paglalaban,negative
mawalan,negative
lihis,negative
implikasyon,negative
harapin,negative
die,negative
sirain,negative
salarin,negative
pagkatakot,negative
maninila,negative
konserbatibo,negative
kawan,negative
hating,negative
bigla,negative
pinalayas,negative
paratang,negative
pananabik,negative
nababagay,negative
makipaglaban,negative
itago,negative
drag,negative
dispute,negative
death,negative
alsa,negative
sagutin,negative
panghihimasok,negative
pagsuway,negative
nakatago,negative
lumala,negative
limited,negative
kalamidad,negative
tutol,negative
tanggihan,negative
problem,negative
poot,negative
nasusunog,negative
nakahiga,negative
masakit,negative
mapatay,negative
malagkit,negative
mahuli,negative
kalupitan,negative
cold,negative
tulisan,negative
trauma,negative
takas,negative
parusahan,negative
natatakot,negative
natakot,negative
malaganap,negative
kamandag,negative
bias,negative
tumalo,negative
tukso,negative
sumabog,negative
sobra,negative
plot,negative
paso,negative
panliligalig,negative
pangangati,negative
pagsisisi,negative
nagbabala,negative
maubos,negative
marupok,negative
magpalabas,negative
kilo,negative
dead,negative
umiwas,negative
sako,negative
palo,negative
paghaharap,negative
limit,negative
kasinungalingan,negative
kapahamakan,negative
kalawang,negative
ipa,negative
huwad,negative
bingi,negative
wild,negative
tumiwalag,negative
tae,negative
severe,negative
pagsira,negative
pagpapakamatay,negative
nahatulan,negative
matalas,negative
kirot,negative
katamaran,negative
kamangmangan,negative
bullying,negative
baliw,negative
umiyak,negative
tsismis,negative
pumigil,negative
pekeng,negative
pagkakasala,negative
namamalagi,negative
mailap,negative
mahiyain,negative
labasan,negative
karikatura,negative
kapabayaan,negative
kagipitan,negative
injury,negative
infringement,negative
dilim,negative
cancer,negative
bali,negative
awang,negative
wrong,negative
salungatan,negative
sagabal,negative
pilay,negative
pigilin,negative
paumanhin,negative
panghihina,negative
pangamba,negative
pamumula,negative
pagtataksil,negative
pagkukulang,negative
mataba,negative
mangmang,negative
lumayo,negative
limon,negative
kati,negative
kainaman,negative
ingatan,negative
dark,negative
dahas,negative
biglaan,negative
tulo,negative
sapot,negative
pilitin,negative
panatiko,negative
pananakot,negative
pagpapahiwatig,negative
pagkakasakit,negative
pagbabanta,negative
marumi,negative
mantsa,negative
magulo,negative
lumabag,negative
kutsilyo,negative
ihiwalay,negative
baluktot,negative
Burns,negative
sipon,negative
salat,negative
pumutok,negative
pantulong,negative
paninira,negative
pagsusuka,negative
pagsipsip,negative
pagbubuwis,negative
napakahirap,negative
matarik,negative
mahulog,negative
magtipon,negative
maghiganti,negative
kawali,negative
gumagapang,negative
fictional,negative
epidemya,negative
diyablo,negative
criticism,negative
buwagin,negative
vice,negative
putulin,negative
maralita,negative
maga,negative
kamao,negative
itakwil,negative
issues,negative
frozen,negative
floor,negative
died,negative
defensive,negative
dagta,negative
agresibo,negative
warning,negative
tumigas,negative
static,negative
shock,negative
pinagtatalunang,negative
palakol,negative
pagpapalayas,negative
pagkakanulo,negative
pagkabilanggo,negative
paalisin,negative
nepotismo,negative
lusak,negative
lumusob,negative
kalubhaan,negative
inflammatory,negative
hack,negative
dukha,negative
duda,negative
destroyer,negative
balabal,negative
akusasyon,negative
talamak,negative
sugpuin,negative
sigaw,negative
punit,negative
pipi,negative
pamatay,negative
pamalo,negative
pagtunaw,negative
pagkalito,negative
pagbaluktot,negative
nakakalason,negative
maulap,negative
masikip,negative
magapi,negative
lipulin,negative
kasawian,negative
impyerno,negative
humahadlang,negative
hayaan,negative
duwag,negative
baho,negative
agam,negative
pakialam,negative
pagyeyelo,negative
pagkalugi,negative
offensive,negative
odd,negative
natigil,negative
nagtatanggol,negative
nababahala,negative
maingay,negative
mabigo,negative
loss,negative
hinala,negative
bulok,negative
bad,negative
abuso,negative
weakening,negative
ulila,negative
takpan,negative
tagtuyot,negative
tago,negative
risk,negative
problems,negative
poor,negative
pinatuyo,negative
piitan,negative
peste,negative
pangkaluluwa,negative
pakiusap,negative
pagsasamantala,negative
pagmamalabis,negative
pagbuwag,negative
nakakahawa,negative
malasakit,negative
mahiwaga,negative
lumihis,negative
kasakiman,negative
kalabasa,negative
imoral,negative
gasgas,negative
fall,negative
erehe,negative
dilemma,negative
critics,negative
bisyo,negative
anxiety,negative
weak,negative
umuurong,negative
tindi,negative
tanga,negative
strike,negative
sinumpa,negative
rape,negative
panlilinlang,negative
pamahiin,negative
pagsisi,negative
pagsilakbo,negative
paglipol,negative
pagkaubos,negative
pagkaantala,negative
paghiwalay,negative
naghihirap,negative
maligamgam,negative
mahalay,negative
magalit,negative
lupigin,negative
lagim,negative
kailaliman,negative
iregular,negative
ilusyon,negative
emergency,negative
dungis,negative
disabled,negative
disable,negative
diperensya,negative
crash,negative
biased,negative
barbaro,negative
bait,negative
awayan,negative
Nasira,negative
warp,negative
tagalabas,negative
sumigaw,negative
sink,negative
saktan,negative
pantal,negative
pangungutya,negative
pagtalikod,negative
pagpukaw,negative
pagkahulog,negative
pagkaalipin,negative
matulog,negative
masungit,negative
masahol,negative
mapilit,negative
mahalumigmig,negative
mabulok,negative
lungkot,negative
kumpisal,negative
kamalasan,negative
insenso,negative
genocide,negative
dumagsa,negative
broken,negative
bitag,negative
baog,negative
balbula,negative
alingawngaw,negative
unable,negative
trick,negative
tigilan,negative
slowly,negative
resistance,negative
pinaghihinalaan,negative
pig,negative
pasumala,negative
pasismo,negative
pangmundo,negative
pamimilit,negative
paltos,negative
pagsugpo,negative
pagkagalit,negative
paghihigpit,negative
nilaga,negative
napakalamig,negative
mariin,negative
mapanlinlang,negative
mapanira,negative
mapanglaw,negative
makialam,negative
makapigil,negative
maiwan,negative
mahuhulaan,negative
mabato,negative
mabalasik,negative
lost,negative
kulubot,negative
killed,negative
kasabwat,negative
isolated,negative
insulto,negative
injure,negative
gusot,negative
gumanti,negative
glitch,negative
dumaloy,negative
decay,negative
crush,negative
conflict,negative
collapse,negative
bumagal,negative
bulgar,negative
breaks,negative
bigo,negative
alinlangan,negative
unknown,negative
tamad,negative
takutin,negative
stew,negative
slow,negative
sloth,negative
shark,negative
partisan,negative
panunuri,negative
panahunan,negative
pagtatakwil,negative
pagpuksa,negative
pagkabigla,negative
pagdurog,negative
pagdumi,negative
pabulaanan,negative
pabaya,negative
namuo,negative
nakasisira,negative
nagkakamali,negative
nagagalit,negative
masunurin,negative
mapusok,negative
makasarili,negative
makamandag,negative
magnakaw,negative
magkarga,negative
magkamali,negative
lamat,negative
lack,negative
kalokohan,negative
kalabisan,negative
kahalayan,negative
iskandalo,negative
hiwaga,negative
hell,negative
gisingin,negative
fever,negative
failed,negative
disturbance,negative
diktatoryal,negative
crisis,negative
brutal,negative
breaking,negative
babasagin,negative
api,negative
Kulang,negative
tutulan,negative
tumakip,negative
tigib,negative
strange,negative
sinungaling,negative
pulubi,negative
pulos,negative
puksain,negative
pinirito,negative
pinahaba,negative
patago,negative
pagsisinungaling,negative
pagpapataw,negative
pagpapabaya,negative
pagkahuli,negative
pagbubuno,negative
padyak,negative
nervous,negative
namamaga,negative
nakapipinsala,negative
nakakalito,negative
naiinggit,negative
nabalisa,negative
mapalabas,negative
manipulahin,negative
makaluma,negative
mabagsik,negative
lubog,negative
liko,negative
kayumian,negative
kasiraan,negative
kapalaluan,negative
kapa,negative
ipagbawal,negative
inferior,negative
imoralidad,negative
ihinto,negative
ibagsak,negative
humpay,negative
hangal,negative
hamunin,negative
hadlangan,negative
gross,negative
ginaw,negative
funny,negative
foul,negative
fat,negative
failure,negative
disputed,negative
delikado,negative
damage,negative
criminal,negative
bastos,negative
basagin,negative
attack,negative
aksidental,negative
Iginiit,negative
welga,negative
wasak,negative
villains,negative
usigin,negative
tunawin,negative
trivial,negative
talunan,negative
strict,negative
queer,negative
puta,negative
pinahina,negative
pinaghandaan,negative
paralisado,negative
pagtuligsa,negative
pagpapatapon,negative
pagkubkob,negative
pagkasunog,negative
paghupa,negative
pabayaan,negative
nakalilito,negative
nakakapinsala,negative
nahihiya,negative
nagyeyelo,negative
myth,negative
midget,negative
mayabang,negative
matakot,negative
malagim,negative
maimpluwensiyahan,negative
magsinungaling,negative
magpanggap,negative
lumpo,negative
loud,negative
losing,negative
linta,negative
ligalig,negative
lasing,negative
katakawan,negative
karumihan,negative
kabaliwan,negative
itanggi,negative
invisible,negative
illegal,negative
humatol,negative
harm,negative
galis,negative
fault,negative
falls,negative
err,negative
critical,negative
critic,negative
controversial,negative
chronic,negative
bombahin,negative
balisa,negative
babaero,negative
attacks,negative
assault,negative
anomalya,negative
abuse,negative
uyam,negative
unano,negative
ulol,negative
tigas,negative
tension,negative
taksil,negative
suicide,negative
stuck,negative
steals,negative
squash,negative
sore,negative
sisihin,negative
sick,negative
saksak,negative
restricted,negative
repetitive,negative
rejection,negative
rail,negative
puppet,negative
plebeian,negative
peklat,negative
pawiin,negative
paniniil,negative
panggugulo,negative
pamukaw,negative
pamiminsala,negative
pagtataboy,negative
pagkauhaw,negative
pagkapoot,negative
pagkakahuli,negative
paghihinala,negative
obese,negative
noise,negative
maputol,negative
manghimasok,negative
makapinsala,negative
magpataw,negative
maghain,negative
lumulubog,negative
luho,negative
lipas,negative
lemon,negative
kinamuhian,negative
killer,negative
kilabot,negative
kapilyuhan,negative
kapighatian,negative
kabigatan,negative
junk,negative
inabuso,negative
hinanakit,negative
hate,negative
hang,negative
guluhin,negative
guilty,negative
gangster,negative
fell,negative
fear,negative
fail,negative
dense,negative
defunct,negative
cloud,negative
busto,negative
antala,negative
akusahan,negative
abort,negative
Nemesis,negative
weaken,negative
waste,negative
volatile,negative
vibration,negative
undue,negative
ulupong,negative
uhaw,negative
tinapon,negative
threat,negative
sisi,negative
satirical,negative
sad,negative
regression,negative
pumipinsala,negative
primitive,negative
popa,negative
pinakamasama,negative
pinaasim,negative
pigsa,negative
pighati,negative
phobia,negative
patawa,negative
pasabugin,negative
palaboy,negative
pahirapan,negative
pahid,negative
pagkagambala,negative
pagkabaliw,negative
opposition,negative
napakatibay,negative
nalulungkot,negative
nakatatakot,negative
nakakainis,negative
naiinis,negative
matakaw,negative
mapurol,negative
mapawi,negative
maliitin,negative
malaswa,negative
malas,negative
makipagtalo,negative
maitaboy,negative
mahayag,negative
magkasala,negative
mabaho,negative
louder,negative
lose,negative
limits,negative
lie,negative
leche,negative
lacking,negative
karaingan,negative
kalabuan,negative
isinakripisyo,negative
irregular,negative
inis,negative
infection,negative
inactive,negative
imitasyon,negative
ikulong,negative
heretic,negative
halang,negative
expire,negative
errors,negative
doubt,negative
discontinued,negative
disagree,negative
destroy,negative
dayain,negative
daya,negative
dalamhati,negative
dagsa,negative
criticized,negative
contentious,negative
concerned,negative
cheat,negative
blow,negative
bawian,negative
bangungot,negative
ax,negative
arbitrary,negative
aminin,negative
aksaya,negative
abuses,negative
